epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.435,2.18096,2.10397,0.00292,0.69059,0.54567,0.58024,0.30971,1.85758,1.36777,0.00288,0.000666243,0.000666243,0.000666243
2,532.829,2.13,1.5776,0.00272,0.72252,0.58442,0.6268,0.34295,1.82047,1.25761,0.00279,0.00129992,0.00129992,0.00129992
3,792.881,2.10991,1.50212,0.00265,0.74294,0.60169,0.64588,0.35829,1.79135,1.21397,0.00274,0.0019006,0.0019006,0.0019006
4,1043.43,2.08009,1.43995,0.0026,0.75576,0.61807,0.66679,0.37205,1.77698,1.16357,0.00267,0.0018515,0.0018515,0.0018515
5,1293.97,2.05934,1.40495,0.00255,0.76667,0.62394,0.67355,0.38215,1.75196,1.13748,0.00263,0.001802,0.001802,0.001802
6,1552.3,2.04466,1.3892,0.00252,0.76815,0.6293,0.67777,0.38736,1.73109,1.13328,0.00258,0.0017525,0.0017525,0.0017525
7,1803.52,2.02166,1.3564,0.00247,0.77962,0.6292,0.68529,0.39208,1.73593,1.10693,0.00258,0.001703,0.001703,0.001703
8,2053.87,2.00659,1.33846,0.00245,0.77836,0.64443,0.69856,0.40321,1.70649,1.08107,0.00253,0.0016535,0.0016535,0.0016535
9,2306,1.99369,1.32065,0.00241,0.77961,0.64568,0.69997,0.40823,1.67641,1.08702,0.00249,0.001604,0.001604,0.001604
10,2558.31,1.98019,1.30748,0.0024,0.78408,0.65837,0.70926,0.41728,1.66451,1.05925,0.00247,0.0015545,0.0015545,0.0015545
11,2809.24,1.96894,1.29631,0.00237,0.79088,0.65725,0.71485,0.42017,1.65939,1.061,0.00243,0.001505,0.001505,0.001505
12,3060.27,1.95901,1.28646,0.00235,0.79267,0.65525,0.71466,0.42167,1.65566,1.04565,0.00243,0.0014555,0.0014555,0.0014555
13,3310.99,1.93891,1.27418,0.00234,0.79728,0.66426,0.72114,0.42748,1.63276,1.03019,0.00238,0.001406,0.001406,0.001406
14,3562.22,1.93535,1.2593,0.00232,0.7969,0.66573,0.72215,0.42801,1.63341,1.02598,0.00239,0.0013565,0.0013565,0.0013565
15,3813.68,1.92843,1.25872,0.0023,0.79576,0.67241,0.72721,0.43599,1.61055,1.01864,0.00234,0.001307,0.001307,0.001307
16,4065.59,1.92718,1.24629,0.00228,0.79887,0.67069,0.72914,0.43703,1.61084,1.01332,0.00233,0.0012575,0.0012575,0.0012575
17,4316.9,1.91786,1.24373,0.00227,0.80143,0.66898,0.73009,0.43764,1.60988,1.01166,0.00234,0.001208,0.001208,0.001208
18,4567.53,1.9132,1.23763,0.00225,0.80318,0.67883,0.73482,0.44048,1.59481,1.00172,0.00231,0.0011585,0.0011585,0.0011585
19,4819.48,1.89871,1.22821,0.00225,0.80638,0.67905,0.73842,0.44642,1.59112,0.99751,0.0023,0.001109,0.001109,0.001109
20,5069.8,1.90081,1.22367,0.00222,0.80765,0.68126,0.74111,0.44851,1.5811,0.9835,0.00228,0.0010595,0.0010595,0.0010595
21,5320.53,1.88588,1.21404,0.00222,0.80885,0.68224,0.74098,0.45069,1.57376,0.98459,0.00226,0.00101,0.00101,0.00101
22,5571.36,1.88443,1.21191,0.00221,0.8086,0.68299,0.74173,0.45106,1.57496,0.98204,0.00226,0.0009605,0.0009605,0.0009605
23,5822,1.88407,1.20455,0.00219,0.81224,0.68751,0.74668,0.45407,1.57124,0.97266,0.00226,0.000911,0.000911,0.000911
24,6073.9,1.8737,1.20046,0.00219,0.80899,0.68877,0.74686,0.4568,1.56042,0.97092,0.00224,0.0008615,0.0008615,0.0008615
25,6325.98,1.86184,1.18843,0.00217,0.81371,0.68977,0.74897,0.45681,1.55954,0.96913,0.00223,0.000812,0.000812,0.000812
