epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.176,2.34616,2.08114,0.00348,0.64634,0.50171,0.51527,0.25287,2.05388,1.45115,0.00339,0.000666243,0.000666243,0.000666243
2,465.568,2.28658,1.61268,0.00318,0.68504,0.53434,0.56588,0.28668,2.00708,1.32495,0.00323,0.00129992,0.00129992,0.00129992
3,676.398,2.26881,1.53501,0.0031,0.71718,0.55364,0.58765,0.30693,1.99808,1.27247,0.00322,0.0019006,0.0019006,0.0019006
4,887.34,2.23511,1.48052,0.00303,0.73008,0.56423,0.60337,0.32008,1.94857,1.24534,0.00306,0.0018515,0.0018515,0.0018515
5,1120.83,2.20947,1.44983,0.00296,0.73542,0.58206,0.62261,0.33028,1.9208,1.20648,0.00301,0.001802,0.001802,0.001802
6,1354.12,2.19231,1.42851,0.00293,0.74444,0.5849,0.62895,0.33482,1.91706,1.19755,0.00299,0.0017525,0.0017525,0.0017525
7,1573.34,2.17239,1.39363,0.00287,0.75793,0.59296,0.64145,0.3496,1.8918,1.16098,0.00292,0.001703,0.001703,0.001703
8,1790.12,2.15367,1.37993,0.00284,0.75928,0.59772,0.64686,0.35393,1.87928,1.14382,0.00288,0.0016535,0.0016535,0.0016535
9,1996.83,2.14041,1.36873,0.0028,0.75671,0.61136,0.65487,0.35839,1.85398,1.13278,0.00284,0.001604,0.001604,0.001604
10,2210.65,2.12539,1.35166,0.00278,0.76381,0.60856,0.65634,0.36194,1.85817,1.12627,0.00285,0.0015545,0.0015545,0.0015545
11,2425.02,2.11662,1.33868,0.00275,0.76975,0.61316,0.66486,0.36895,1.83313,1.1171,0.0028,0.001505,0.001505,0.001505
12,2644.61,2.10535,1.3298,0.00273,0.7677,0.62382,0.67072,0.37657,1.81549,1.09171,0.00275,0.0014555,0.0014555,0.0014555
13,2861.84,2.08257,1.31766,0.00272,0.76588,0.62466,0.67162,0.37428,1.81076,1.10144,0.00274,0.001406,0.001406,0.001406
14,3077.07,2.07943,1.30732,0.00269,0.7763,0.62455,0.67689,0.37791,1.79396,1.09441,0.00272,0.0013565,0.0013565,0.0013565
15,3276.37,2.07394,1.30343,0.00268,0.7798,0.627,0.68124,0.38571,1.7826,1.08037,0.00269,0.001307,0.001307,0.001307
16,3479.67,2.06994,1.29631,0.00264,0.77514,0.62913,0.68245,0.38602,1.78141,1.07801,0.00269,0.0012575,0.0012575,0.0012575
17,3695.38,2.05866,1.28986,0.00263,0.78238,0.63431,0.68778,0.39126,1.77112,1.06574,0.00267,0.001208,0.001208,0.001208
18,3910.2,2.05261,1.28255,0.00261,0.77896,0.63757,0.68761,0.39022,1.7696,1.06558,0.00266,0.0011585,0.0011585,0.0011585
